SP Att.        SP Att.F       #Depots        Ref. Att.      Ref. Att.F     #Refineries    CC Att.        CC Att.f       Mins           Gas            IdleSCVs       CCs            Supply         Score          
14             0              12             0              0              0              6              5              1835           0              0              2              32/126         4385           
15             0              12             0              0              0              5              4              1760           0              0              2              29/126         4160           
13             0              12             0              0              0              8              7              1280           0              0              2              27/126         3625           
14             0              12             0              0              0              4              3              1350           0              0              2              26/126         3600           
14             0              12             0              0              0              3              2              1405           0              0              2              27/126         3755           
16             0              12             0              0              0              2              1              1610           0              1              2              27/126         3910           
12             0              12             0              0              0              4              3              1580           0              0              2              28/126         3930           
12             0              12             0              0              0              4              3              1430           0              0              2              28/126         3780           
16             0              12             0              0              0              2              1              1610           0              0              2              27/126         3910           
12             0              12             0              0              0              6              5              1350           0              0              2              27/126         3650           
14             0              12             0              0              0              5              4              1560           0              0              2              26/126         3810           
17             0              12             0              0              0              4              3              1555           0              0              2              29/126         3955           
14             0              12             0              0              0              4              3              1505           0              0              2              26/126         3755           
16             0              12             0              0              0              4              3              1375           0              0              2              26/126         3625           
14             0              12             0              0              0              6              5              1615           0              0              2              24/126         3765           
15             0              12             0              0              0              3              2              1375           0              0              2              25/126         3575           
13             0              12             0              0              0              1              0              1365           0              0              2              25/126         3565           
14             0              12             0              0              0              4              3              1400           0              0              2              28/126         3745           
15             0              12             0              0              0              3              2              1580           0              0              2              29/126         3980           
12             0              12             0              0              0              2              1              1345           0              0              2              26/126         3595           
13             0              12             0              0              0              6              5              1370           0              0              2              26/126         3620           
14             0              12             0              0              0              3              2              1305           0              1              2              27/126         3605           
12             0              12             0              0              0              6              5              1460           0              0              2              31/126         4110           
14             0              12             0              0              0              3              2              1750           0              0              2              26/126         4000           
12             0              12             0              0              0              2              1              1300           0              0              2              28/126         3845           
18             0              12             0              0              0              3              2              1440           0              0              2              30/126         3885           
15             0              12             0              0              0              4              3              1325           0              0              2              29/126         3920           
13             0              12             0              0              0              4              3              1330           0              0              2              28/126         3680           
15             0              12             0              0              0              1              0              1315           0              0              2              30/126         3965           
12             0              12             0              0              0              6              5              1675           0              0              2              27/126         3975           
13             0              12             0              0              0              1              0              1140           0              0              2              27/126         3640           
13             0              12             0              0              0              6              5              1470           0              0              2              25/126         3670           
13             0              12             0              0              0              2              1              1310           0              0              2              30/126         3960           
15             0              12             0              0              0              2              1              1400           0              0              2              25/126         3600           
14             0              12             0              0              0              3              2              1360           0              0              2              27/126         3660           
13             0              12             0              0              0              2              1              1185           0              1              2              28/126         3685           
14             0              12             0              0              0              5              4              1265           0              0              2              30/126         3865           
13             0              12             0              0              0              4              3              1310           0              0              2              31/126         3960           
13             0              12             0              0              0              5              4              1305           0              0              2              29/126         3855           
16             0              12             0              0              0              7              6              1650           0              0              2              32/126         4395           
13             0              12             0              0              0              4              3              1195           0              0              2              28/126         3745           
15             0              12             0              0              0              7              6              1325           0              0              2              29/126         3925           
13             0              12             0              0              0              3              2              1170           0              0              2              27/126         3670           
15             0              12             0              0              0              4              3              1405           0              0              2              31/126         4055           
13             0              12             0              0              0              2              1              1120           0              0              2              29/126         3720           
13             0              12             0              0              0              2              1              1150           0              0              2              28/126         3700           
15             0              12             0              0              0              7              6              1380           0              0              2              29/126         3975           
14             0              12             0              0              0              3              2              1200           0              0              2              29/126         3795           
14             0              12             0              0              0              2              1              1260           0              0              2              28/126         3810           
13             0              12             0              0              0              3              2              1140           0              0              2              27/126         3640           
12             0              12             0              0              0              5              4              1180           0              0              2              28/126         3725           
15             0              12             0              0              0              2              1              1265           0              0              2              29/126         3865           
15             0              12             0              0              0              5              4              1130           0              1              2              28/126         3630           
13             0              12             0              0              0              2              1              1215           0              0              2              28/126         3760           
13             0              12             0              0              0              1              0              1120           0              0              2              27/126         3615           
13             0              12             0              0              0              8              7              1065           0              0              2              28/126         3615           
